Script Name, Function Name, Location, Expression
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 3, 4:17-32))","(= has true)"
221288.js,"ClassTail[0,1].ClassDefinitionEvaluation:clo0","Some((step 14.a.ii, 40:45-75))","Vector(return comp[~throw~/~empty~]((new OrdinaryObject("Prototype" -> @EXECUTION_STACK[0].Realm.Intrinsics["%TypeError.prototype%"], "ErrorData" -> undefined))[#707]))"
262872.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 1, 2:25-67))","sdo-call %0 = this[0]->ContainsExpression()"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 7, 8:14-27))","Vector(return has)"
101760.js,"MemberExpression[3,0].Evaluation","Some((step 1, 2:14-74))","Vector(let tagRef = %0)"
308366.js,"CallExpression[6,0].HasCallInTailPosition","Some((step 1, 2:17-48))","(= this[0] call)"
282074.js,"ArrayBindingPattern[2,0].BoundNames","Some((step 1, 2:12-58))","Vector(return %0)"
227223.js,"Statement[13,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 6, 7:15-32))","(= next false)"
202891.js,"ExponentiationExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
219028.js,"AsyncArrowFunction[0,0].NamedEvaluation","Some((step 1, 2:19-103))","sdo-call %0 = this->InstantiateAsyncArrowFunctionExpression(name)"
282375.js,"DoWhileStatement[0,0].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[0]->HasCallInTailPosition(call)"
373630.js,"MemberExpression[3,0].HasCallInTailPosition","Some((step 1, 2:17-50))","(= this[0] call)"
181227.js,"Number::multiply","Some((step 5.a, 15:46-71))","Vector(return 0.0f)"
278342.js,"RelationalExpression[6,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
72890.js,"ForStatement[0,2].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[3]->HasCallInTailPosition(call)"
23588.js,"Statement[4,0].LabelledEvaluation","Some((step 1, 2:19-55))","sdo-call %0 = this->Evaluation()"
359874.js,"AsyncGeneratorDrainQueue","Some((step 5.c.ii, 11:28-66))","call %1 = clo<AsyncGeneratorAwaitReturn>(generator)"
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 1, 2:14-109))","Vector(nextIndex = [? %0])"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15, 33:12 - 36:77))","Vector(%12 = (+ %12 1))"
237040.js,"ImportCall[0,0].Evaluation","Some((step 1, 2:49-74))","call %0 = clo<GetActiveScriptOrModule>()"
350228.js,"CoalesceExpression[0,0].HasCallInTailPosition","Some((step 1, 2:14-89))","Vector(return %0)"
322717.js,"INTRINSICS.Object.defineProperty","None","Vector(let Attributes = absent)"
392657.js,"PrimaryExpression[6,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
312395.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 6, 7:34-74))","Vector(iteratorRecord.Done = true)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.a, 34:14-67))","Vector(let R = %14)"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 4, 5:14-89))","Vector(let has = %1)"
296183.js,"BindingElisionElement[0,1].ContainsExpression","Some((step 1, 2:19-57))","sdo-call %0 = this[1]->ContainsExpression()"
29344.js,"AsyncArrowBindingIdentifier[0,0].ContainsExpression","Some((step 1, 2:12-27))","Vector(return false)"
3501.js,"BindingIdentifier[2,0].BindingInitialization","Some((step 1, 2:12-76))","Vector(return [? %0])"
294432.js,"AsyncGeneratorAwaitReturn:clo1","Some((step 9.c, 18:24-81))","call %1 = clo<AsyncGeneratorCompleteStep>(generator, result, true)"
289475.js,"EqualityExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 3, 4:37-67))","call %0 = clo<IteratorStep>(iteratorRecord)"
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 1, 2:12-126))","Vector([? %0])"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.b, 35:47-72))","Vector(V = R.Value)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.c, 36:46-77))","Vector(return [? %15])"
191071.js,"ForStatement[1,1].ForLoopEvaluation","Some((step 3, 4:14-120))","Vector(return [? %1])"
312941.js,"BitwiseXORExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
202730.js,"WhileStatement[0,0].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[1]->HasCallInTailPosition(call)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15, 33:12 - 36:77))","(< %12 %13.length)"
130780.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 8.g, 27:62-92))","Vector(return comp[~throw~/~empty~]((new OrdinaryObject("Prototype" -> @EXECUTION_STACK[0].Realm.Intrinsics["%TypeError.prototype%"], "ErrorData" -> undefined))[#736]))"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 3, 4:12-69))","Vector(let next = %1)"
286329.js,"INTRINSICS.Array.prototype.find","Some((step 3, 4:53-83))","Vector(return comp[~throw~/~empty~]((new OrdinaryObject("Prototype" -> @EXECUTION_STACK[0].Realm.Intrinsics["%TypeError.prototype%"], "ErrorData" -> undefined))[#1023]))"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 3, 4:26-68))","call %1 = clo<Completion>(%0)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 4, 5:15-45))","(&& (comp? next) (! (= next.Type ~normal~)))"
337825.js,"CaseClause[0,0].HasCallInTailPosition","Some((step 1, 2:17-43))","(! (= this[1] absent))"
71481.js,"CaseBlock[1,1].CaseBlockEvaluation","Some((step 13, 31:44-75))","Vector(return [? %11])"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.b, 35:17-45))","(! (= R.Value ~empty~))"
37.js,"EqualityExpression[2,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
335144.js,"PrimaryExpression[3,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
225557.js,"Statement[7,0].LabelledEvaluation","Some((step 1, 2:12-56))","Vector(return %0)"
201263.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 3, 4:12-62))","Vector(return %1)"
394544.js,"ArrayAssignmentPattern[2,2].DestructuringAssignmentEvaluation","Some((step 3.a, 5:19-55))","(= iteratorRecord.Done false)"
382425.js,"INTRINSICS.Object.getOwnPropertyDescriptor","None","Vector(let P = absent)"
186642.js,"Number::divide","Some((step 7.a, 18:83-108))","Vector(return +INF)"
223901.js,"ArrayBindingPattern[2,1].ContainsExpression","Some((step 3, 4:12-62))","Vector(return %1)"
29344.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 7.a, 9:14-59))","Vector(v = %3)"
82031.js,"ForStatement[1,1].VarScopedDeclarations","Some((step 1, 2:12-86))","Vector(let declarations1 = %0)"
223901.js,"ArrayBindingPattern[2,1].ContainsExpression","Some((step 3, 4:19-61))","sdo-call %1 = this[2]->ContainsExpression()"
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 2, 3:17-37))","(! (= this[1] absent))"
287536.js,"Elision[1,0].IteratorDestructuringAssignmentEvaluation","Some((step 2.d, 7:38-78))","Vector(iteratorRecord.Done = true)"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 6, 7:17-52))","(! (= this[2] absent))"
262872.js,"ArrayBindingPattern[2,3].BoundNames","Some((step 1, 2:12-63))","Vector(let names1 = %0)"
316983.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 2, 3:17-51))","(! (= this[0] absent))"
